	_id	correction.identifier	correction.@type	correction.correctionType	correction.url	@type
114	pmid32381641	2020.04.27.20082362	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.27.20082362	
115	pmid32015507	2020.01.22.914952	outbreak:Correction	preprint	https://doi.org/10.1101/2020.01.22.914952	
116	pmid32296168	2020.03.15.20036707	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.15.20036707	
117	pmid32566559	2020.04.14.20064733	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.14.20064733	
118	pmid32566563	2020.04.14.20065664	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.14.20065664	
119	pmid32488616	2020.04.22.056218	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.22.056218	
120	pmid32272481	2020.02.26.964882	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.26.964882	
121	pmid32446795	2020.03.24.20042358	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.24.20042358	
122	pmid32650275	2020.05.11.20096263	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.11.20096263	
123	pmid32507105	2020.04.12.038554	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.12.038554	
124	pmid32329522	2020.03.15.20036418	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.15.20036418	
125	pmid32300018	2020.03.15.20036293	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.15.20036293	
126	pmid32584972	2020.05.01.20081026	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.01.20081026	
127	pmid32637423	2020.03.10.20033852	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.10.20033852	
128	pmid32369217	2020.03.04.20026005	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.04.20026005	
129	pmid32582739	2020.04.21.20074054	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.21.20074054	
130	pmid32296837	2020.03.18.20037101	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.18.20037101	
131	pmid32428031	2020.04.08.20058297	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.08.20058297	
132	pmid32392262	2020.03.25.20043745	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.25.20043745	
133	pmid32416600	2020.04.22.056747	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.22.056747	
134	pmid32426363	2020.02.25.20027672	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.25.20027672	
135	pmid32401343	2020.05.02.20087221	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.02.20087221	
136	pmid32651997	2020.05.29.20117358	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.29.20117358	
137	pmid32444412	2020.03.24.20042317	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.24.20042317	
138	pmid32566558	2020.04.13.20064360	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.13.20064360	
139	pmid32320478	2020.03.25.20043927	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.25.20043927	
140	pmid32651581	2020.05.12.091462	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.12.091462	
141	pmid32283450	2020.03.13.20034496	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.13.20034496	
142	pmid32367739	2020.04.18.20071035	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.18.20071035	
143	pmid32004758	2020.01.26.920249	outbreak:Correction	preprint	https://doi.org/10.1101/2020.01.26.920249	
144	pmid32397286	2020.03.22.20040915	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.22.20040915	
145	pmid32314976	2020.03.18.20038026	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.18.20038026	
146	pmid32379723	2020.04.21.042911	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.21.042911	
147	pmid32359424	2020.04.01.20047076	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.01.20047076	
148	pmid32460829	2020.04.30.20085928	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.30.20085928	
149	pmid32427279	2020.05.04.20074609	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.04.20074609	
150	pmid32444493	2020.04.28.20082735	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.28.20082735	
151	pmid32644224	2020.06.26.20056507	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.26.20056507	
152	pmid32512578	2020.03.22.20040642	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.22.20040642	
153	pmid32437434	2020.04.29.20085563	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.29.20085563	
154	pmid32546245	2020.03.03.20030627	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.03.20030627	
155	pmid32574328	2020.03.28.20046151	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.28.20046151	
156	pmid32623081	2020.05.27.20114819	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.27.20114819	
157	pmid32574335	2020.03.30.20047688	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.30.20047688	
158	pmid32093043	2020.02.04.20020503	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.04.20020503	
159	pmid32431288	2020.05.07.20094557	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.07.20094557	
160	pmid32327245	2020.03.24.20042432	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.24.20042432	
161	pmid32578943	2020.04.09.20056374	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.09.20056374	
162	pmid32539586	2020.05.13.20100198	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.13.20100198	
163	pmid32438868	2020.02.29.20029439	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.29.20029439	
164	pmid32526759	2020.04.27.20081356	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.27.20081356	
165	pmid32397847	2020.04.07.029017	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.07.029017	
166	pmid32075877	2020.02.11.944462	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.11.944462	
167	pmid32366817	2020.03.11.987958	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.11.987958	
168	pmid32360770	2020.04.15.20066480	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.15.20066480	
169	pmid32641296	2020.07.05.20146878	outbreak:Correction	preprint	https://doi.org/10.1101/2020.07.05.20146878	
170	pmid32079150	2020.01.26.20018754	outbreak:Correction	preprint	https://doi.org/10.1101/2020.01.26.20018754	
171	pmid32409519	2020.04.19.20071712	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.19.20071712	
172	pmid32587932	2020.03.23.20041897	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.23.20041897	
173	pmid32532983	2020.03.29.20045039	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.29.20045039	
174	pmid32553059	2020.05.18.101493	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.18.101493	
175	pmid32579268	2020.05.18.20106245	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.18.20106245	
176	pmid32218151	2020.02.10.942136	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.10.942136	
177	pmid32522207	2020.05.07.082487	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.07.082487	
178	pmid32213647	2020.03.02.20026708	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.02.20026708	
179	pmid32190785	2020.02.24.20027649	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.24.20027649	
180	pmid32144116	2020.02.09.20021261	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.09.20021261	
181	pmid32541745	2020.05.06.20093179	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.06.20093179	
182	pmid32545518	2020.05.16.099788	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.16.099788	
183	pmid32589756	2020.06.04.20122507	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.04.20122507	
184	pmid32343747	2020.03.02.20030288	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.02.20030288	
185	pmid32545925	2020.06.03.20112540	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.03.20112540	
186	pmid32441303	2020.05.08.20093229	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.08.20093229	
187	pmid32568027	2020.04.20.049924	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.20.049924	
188	pmid32176808	2020.02.13.20022806	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.13.20022806	
189	pmid32615934	2020.05.02.20080390	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.02.20080390	
190	pmid32368629	2020.04.24.20073296	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.24.20073296	
191	pmid32388468	2020.04.10.20061176	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.10.20061176	
192	pmid32416374	2020.04.12.20062828	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.12.20062828	
193	pmid32102279	2020.02.14.20022897	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.14.20022897	
194	pmid32473312	2020.04.03.20051649	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.03.20051649	
195	pmid32524946	2020.04.25.20079517	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.25.20079517	
196	pmid32325386	2020.04.02.20051128	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.02.20051128	
197	pmid32430428	2020.03.22.20040832	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.22.20040832	
198	pmid32304108	2020.03.02.968388	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.02.968388	
199	pmid32654247	2020.05.17.100685	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.17.100685	
200	pmid32361028	2020.04.05.026187	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.05.026187	
201	pmid32555388	2020.05.13.092619	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.13.092619	
202	pmid32609763	2020.04.01.20049957	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.01.20049957	
203	pmid32485871	2020.03.30.20048264	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.30.20048264	
204	pmid32589145	2020.03.25.20043380	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.25.20043380	
205	pmid32471884	2020.04.20.20072116	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.20.20072116	
206	pmid32377030	2020.04.15.20066811	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.15.20066811	
207	pmid32559081	2020.05.20.103325	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.20.103325	
208	pmid32576696	2020.05.13.20100289	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.13.20100289	
209	pmid32566556	2020.04.13.20064402	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.13.20064402	
210	pmid32536760	2020.04.15.20066308	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.15.20066308	
211	pmid32426062	2020.05.03.20089649	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.03.20089649	
212	pmid32422233	2020.05.05.20091983	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.05.20091983	
213	pmid32510598	2020.03.31.20047621	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.31.20047621	
214	pmid32229732	2020.02.19.20025288	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.19.20025288	
215	pmid32409561	2020.04.10.20060558	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.10.20060558	
216	pmid32558639	2020.04.11.037382	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.11.037382	
217	pmid32605182	2020.06.14.151381	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.14.151381	
218	pmid32384159	2020.02.12.20022426	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.12.20022426	
219	pmid32525844	2020.05.12.20099879	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.12.20099879	
220	pmid32539253	2020.06.05.20121566	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.05.20121566	
221	pmid32591408	2020.04.11.20062349	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.11.20062349	
222	pmid32302370	2020.02.26.20028308	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.26.20028308	
223	pmid32065055	2020.01.28.923011	outbreak:Correction	preprint	https://doi.org/10.1101/2020.01.28.923011	
224	pmid32482785	2020.04.26.20080994	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.26.20080994	
225	pmid32378705	2020.04.07.029132	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.07.029132	
226	pmid32599282	2020.05.27.120410	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.27.120410	
227	pmid32645951	2020.05.15.098947	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.15.098947	
228	pmid32277040	2020.03.16.993386	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.16.993386	
229	pmid32503874	2020.04.09.20059196	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.09.20059196	
230	pmid32562541	2020.05.13.20101006	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.13.20101006	
231	pmid32437017	2020.04.23.20077644	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.23.20077644	
232	pmid32591733	2020.05.14.20102301	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.14.20102301	
233	pmid32509472	2020.04.09.034462	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.09.034462	
234	pmid32292868	2020.03.14.20036202	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.14.20036202	
235	pmid32453411	2020.03.09.20032045	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.09.20032045	
236	pmid32283141	2020.03.13.20035428	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.13.20035428	
237	pmid32430459	2020.03.04.20031237	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.04.20031237	
238	pmid32426212	2020.03.15.993097	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.15.993097	
239	pmid32646885	2020.05.12.20094508	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.12.20094508	
240	pmid32641684	2020.04.16.044503	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.16.044503	
241	pmid32221519	2020.03.02.20030189	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.02.20030189	
242	pmid32545441	2020.04.17.20068916	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.17.20068916	
243	pmid32634826	2020.05.24.20110346	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.24.20110346	
244	pmid32587094	2020.05.15.098616	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.15.098616	
245	pmid32396922	2020.03.21.001628	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.21.001628	
